PLT_CN,PLOT_FIADB,MEASYEAR,INVYR,TREE_CN,STREE_CN,LAT_FUZZED,LON_FUZZED,SPCD,series,species,DBH_cm,d2pith_mm,notes_lab
6.83089E+14,3150,2022,2020,NA,1.27969E+15,61.71016,-158.3954,94,03150AC,PIGL,25.65,NA,NA
6.83089E+14,3150,2022,2020,NA,1.27969E+15,61.71016,-158.3954,94,03150AD,PIGL,43.18,NA,NA
6.83089E+14,17570,2022,2020,NA,1.27969E+15,61.16959,-159.5167,94,17570AE,PIGL,48.77,NA,NA
6.83089E+14,63738,2022,2020,NA,NA,61.82059,-158.648,95,63738AA,PIMA,9.14,NA,NA
6.83089E+14,63738,2022,2020,NA,NA,61.82059,-158.648,95,63738AB,PIMA,7.87,NA,NA
6.83089E+14,63738,2022,2020,NA,NA,61.82059,-158.648,95,63738AC,PIMA,9.91,NA,NA
8.86189E+14,2760,2022,2021,NA,NA,60.083371,-151.404445,95,02760AB,PIMA,7.87,NA,NA
8.86189E+14,2760,2022,2021,NA,NA,60.083371,-151.404445,95,02760AC,PIMA,5.84,NA,NA
8.86189E+14,2760,2022,2021,NA,NA,60.083371,-151.404445,95,02760AD,PIMA,8.89,NA,NA
9.23529E+14,14172,2022,2022,NA,1.27974E+15,61.80709,-159.8877,95,14172AB,PIMA,9.65,NA,NA
9.23529E+14,14172,2022,2022,NA,1.27974E+15,61.80709,-159.8877,95,14172AC,PIMA,8.38,NA,NA
9.23529E+14,14172,2022,2022,NA,1.27974E+15,61.80709,-159.8877,95,14172AD,PIMA,9.91,NA,NA
6.83089E+14,2804,2022,2020,NA,1.27969E+15,61.6891,-156.464,376,02804AA,BENE,10.92,NA,AGE
6.83089E+14,2804,2022,2020,NA,1.27969E+15,61.6891,-156.464,94,02804AB,PIGL,20.57,NA,S/A
6.8309E+14,38881,2022,2020,NA,NA,61.70298,-155.4143,94,38881AA,PIGL,18.29,NA,NA
6.8309E+14,38881,2022,2020,NA,NA,61.70298,-155.4143,94,38881AB,PIGL,NA,NA,NA
6.8309E+14,10391,2022,2020,NA,NA,61.73458,-155.5998,95,10391AA,PIMA,7.87,NA,NA
6.8309E+14,10391,2022,2020,NA,NA,61.73458,-155.5998,95,10391AB,PIMA,6.1,NA,NA
6.8309E+14,10391,2022,2020,NA,NA,61.73458,-155.5998,95,10391AC,PIMA,8.64,NA,NA
6.83089E+14,867,2022,2020,NA,1.27969E+15,61.82677,-157.4188,95,00867AA,PIMA,11.43,NA,plot mislabeled - changed from 4434 to 4334 (Cahoon)
6.83089E+14,867,2022,2020,NA,1.27969E+15,61.82677,-157.4188,95,00867AB,PIMA,12.19,NA,plot mislabeled - changed to 4334 (Cahoon)
6.83089E+14,867,2022,2020,NA,1.27969E+15,61.82677,-157.4188,95,00867AC,PIMA,12.95,NA,plot mislabeled - changed to 4334 (Cahoon)
9.23529E+14,8015,2022,2022,NA,NA,61.9076,-158.7056,95,08015AC,PIMA,10.41,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
9.23529E+14,8015,2022,2022,NA,NA,61.9076,-158.7056,95,08015AD,PIMA,14.99,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
6.83089E+14,23539,2022,2020,NA,NA,61.40355,-156.8409,94,23539AB,PIGL,19.56,NA,INC
6.83089E+14,23539,2022,2020,NA,1.27969E+15,61.40355,-156.8409,94,23539AC,PIGL,17.27,NA,NA
6.83089E+14,23539,2022,2020,NA,1.27969E+15,61.40355,-156.8409,94,23539AD,PIGL,22.61,NA,NA
6.83089E+14,23539,2022,2020,NA,1.27969E+15,61.40355,-156.8409,94,23539AE,PIGL,20.07,NA,NA
6.83089E+14,27801,2022,2020,NA,1.27969E+15,61.8478,-157.5921,94,27801AD,PIGL,20.57,NA,NA
6.83089E+14,40094,2022,2020,NA,NA,61.94515,-157.6497,95,40094AA,PIMA,11.68,NA,NA
6.83089E+14,5196,2022,2020,NA,1.27969E+15,61.83693,-156.8794,94,05196AA,PIGL,34.29,NA,NA
6.83089E+14,5196,2022,2020,NA,1.27969E+15,61.83693,-156.8794,94,05196AB,PIGL,20.32,NA,NA
6.83089E+14,5196,2022,2020,NA,1.27969E+15,61.83693,-156.8794,94,05196AC,PIGL,22.86,NA,NA
6.83089E+14,37133,2022,2020,NA,NA,61.41501,-160.8821,71,37133AA,LALA,9.4,NA,NA
6.83089E+14,37133,2022,2020,NA,NA,61.41501,-160.8821,71,37133AB,LALA,7.11,NA,NA
6.83089E+14,37133,2022,2020,NA,NA,61.41501,-160.8821,71,37133AC,LALA,11.18,NA,NA
6.83089E+14,38707,2022,2020,NA,1.27969E+15,61.52499,-156.5457,95,38707AB,PIMA,12.7,NA,NA
6.83089E+14,38707,2022,2020,NA,1.27969E+15,61.52499,-156.5457,95,38707AC,PIMA,10.16,NA,NA
6.83089E+14,38707,2022,2020,NA,1.27969E+15,61.52499,-156.5457,95,38707AD,PIMA,9.4,NA,NA
9.23529E+14,59263,2022,2022,NA,1.27974E+15,62.10196,-160.2502,95,59263AA,PIMA,12.95,NA,NA
