PLT_CN,PLOT_FIADB,MEASYEAR,TREE_CN,STREE_CN,SPCD,series,species,DBH_field,DIA,d2pith_mm,notes_lab
683089484126144,33257,2022,1279707923290487,NA,94,33257AD,PIGL,5.6,5.6,NA,
683089482126144,48529,2022,1279707405290487,NA,94,48529AA,PIGL,17.6,17.6,NA,
683089482126144,48529,2022,1279707404290487,NA,94,48529AB,PIGL,9.6,9.6,NA,
683089434126144,26460,2022,1279706242290487,NA,95,26460AA,PIMA,6.9,6.9,NA,
683089434126144,26460,2022,1279706238290487,NA,95,26460AB,PIMA,5.6,5.6,NA,
683089434126144,26460,2022,1279706237290487,NA,95,26460AC,PIMA,5,5,NA,
683089434126144,26460,2022,1279706228290487,NA,94,26460AD,PIGL,10.3,10.3,NA,
683089434126144,26460,2022,1279706199290487,NA,95,26460AE,PIMA,5.1,5.1,NA,
683089434126144,26460,2022,1279706197290487,NA,95,26460AF,PIMA,8.4,8.4,NA,
683089373126144,42059,2022,1279704252290487,NA,94,42059AA,PIGL,8.9,8.9,NA,
683089351126144,52619,2022,1279702849290487,NA,95,52619AA,PIMA,5.7,5.7,NA,
683089350126144,22897,2022,1279702481290487,1279702471290487,94,22897AA,PIGL,6.8,6.8,NA,
683089346126144,45440,2022,1279702096290487,NA,94,45440AA,PIGL,5.2,5.2,NA,
683089346126144,45440,2022,1279702091290487,NA,95,45440AB,PIMA,6,6,NA,
683089339126144,44688,2022,1279702037290487,NA,94,44688AA,PIGL,9.7,9.7,NA,
683089339126144,44688,2022,1279702032290487,NA,94,44688AB,PIGL,9.9,9.9,NA,
683089339126144,44688,2022,1279702031290487,NA,94,44688AC,PIGL,11.4,11.4,NA,
683089339126144,44688,2022,1279702023290487,NA,94,44688AD,PIGL,8.6,8.6,NA,
683089329126144,44264,2022,1279701611290487,NA,94,44264AA,PIGL,10.5,10.5,NA,
683089329126144,44264,2022,1279701607290487,NA,94,44264AB,PIGL,6.4,6.4,NA,
683089329126144,44264,2022,1279701605290487,NA,94,44264AC,PIGL,8.2,8.2,NA,
683089326126144,721,2022,1279701364290487,NA,95,00721AA,PIMA,6.7,6.7,NA,
683089310126144,5767,2022,1279700687290487,1279700666290487,94,05767AA,PIGL,8,8,NA,
683089310126144,5767,2022,1279700677290487,1279700665290487,94,05767AB,PIGL,6.7,6.7,NA,
683089310126144,5767,2022,1279700676290487,1279700664290487,94,05767AC,PIGL,7.3,7.3,NA,
683089306126144,4046,2022,1279700276290487,NA,94,04046AA,PIGL,11.5,11.5,NA,
683089306126144,4046,2022,1279700255290487,1279700238290487,94,04046AB,PIGL,7.2,7.2,NA,
683089306126144,4046,2022,1279700253290487,NA,94,04046AC,PIGL,6.7,6.7,NA,
683089300126144,19696,2022,1279699728290487,NA,94,19696AA,PIGL,7.4,7.4,NA,
683089300126144,19696,2022,1279699722290487,NA,94,19696AB,PIGL,12.3,12.3,NA,
683089300126144,19696,2022,1279699720290487,NA,94,19696AC,PIGL,6.9,6.9,NA,
683089289126144,8459,2022,1279699230290487,NA,94,08459AA,PIGL,9.2,9.2,NA,plot mislabeled - changed from 30056 to 30086 (Cahoon)
683089289126144,8459,2022,1279699223290487,NA,94,08459AB,PIGL,5.6,5.6,NA,plot mislabeled - changed from 30056 to 30086 (Cahoon)
683089289126144,8459,2022,1279699219290487,NA,94,08459AC,PIGL,5.9,5.9,NA,plot mislabeled - changed from 30056 to 30086 (Cahoon)
683089278126144,841,2022,1279698966290487,NA,94,00841AA,PIGL,15.1,15.1,NA,
683089272126144,11161,2022,1279698547290487,NA,94,11161AA,PIGL,13.6,13.6,NA,
683089272126144,11161,2022,1279698546290487,NA,94,11161AB,PIGL,18,18,NA,
683089241126144,2224,2022,1279697507290487,NA,95,02224AA,PIMA,6.5,6.5,NA,
683089228126144,30077,2022,1279696812290487,NA,94,30077AA,PIGL,6.6,6.6,NA,
683089228126144,30077,2022,1279696809290487,NA,94,30077AB,PIGL,10.8,10.8,NA,
683089124126144,17375,2022,1279694464290487,NA,94,17375AA,PIGL,14.7,14.7,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
683089124126144,17375,2022,1279694451290487,NA,71,17375AB,LALA,6.7,6.7,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
683089124126144,17375,2022,1279694450290487,NA,94,17375AC,PIGL,9.9,9.9,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
683089124126144,17375,2022,1279694448290487,NA,94,17375AD,PIGL,5.7,5.7,NA,plot mislabeled - changed from 13543 to 13453 (Cahoon)
683089124126144,17375,2022,1279694445290487,NA,94,17375AE,PIGL,8.3,8.3,NA,SITE;  plot mislabeled - changed from 13543 to 13453 (Cahoon)
683089120126144,48992,2022,1279694118290487,NA,94,48992AA,PIGL,11,11,NA,
683089108126144,38707,2022,1279693655290487,NA,95,38707AA,PIMA,5.6,5.6,NA,
683089080126144,13026,2022,1279692744290487,NA,94,13026AA,PIGL,6.7,6.7,NA,
683089066126144,27801,2022,1279692240290487,1279692193290487,94,27801AA,PIGL,8.8,8.8,NA,
683089066126144,27801,2022,1279692208290487,1279692191290487,94,27801AB,PIGL,7.9,7.9,NA,
683089066126144,27801,2022,1279692205290487,NA,94,27801AC,PIGL,10,10,NA,
683089047126144,23539,2022,1279691958290487,NA,95,23539AA,PIMA,5.6,5.6,NA,INC ONLY
683089003126144,17570,2022,1279691188290487,NA,94,17570AA,PIGL,17.9,17.9,NA,
683089003126144,17570,2022,1279691187290487,NA,94,17570AB,PIGL,19.2,19.2,NA,
683089003126144,17570,2022,1279691185290487,NA,94,17570AC,PIGL,15.8,15.8,NA,
683089003126144,17570,2022,1279691178290487,NA,94,17570AD,PIGL,14.8,14.8,NA,
683089002126144,3150,2022,1279691025290487,NA,94,03150AA,PIGL,18.3,18.3,NA,
683089002126144,3150,2022,1279691018290487,NA,94,03150AB,PIGL,7,7,NA,
683088695126144,10246,2022,1279690800290487,NA,94,10246AA,PIGL,12.9,12.9,NA,EXTRA FOR SEAN
683088695126144,10246,2022,1279690795290487,NA,94,10246AB,PIGL,5.2,5.2,NA,EXTRA FOR SEAN
683089002126144,3150,2022,NA,1279691010290487,94,03150AC,PIGL,10.1,10.1,NA,
683089002126144,3150,2022,NA,1279691009290487,94,03150AD,PIGL,17,17,NA,
683089003126144,17570,2022,NA,1279691170290487,94,17570AE,PIGL,19.2,19.2,NA,
683089014126144,63738,2022,NA,NA,95,63738AA,PIMA,3.6,NA,NA,
683089014126144,63738,2022,NA,NA,95,63738AB,PIMA,3.1,NA,NA,
683089014126144,63738,2022,NA,NA,95,63738AC,PIMA,3.9,NA,NA,
886189393290487,2760,2022,NA,NA,95,02760AB,PIMA,3.1,NA,NA,
886189393290487,2760,2022,NA,NA,95,02760AC,PIMA,2.3,NA,NA,
886189393290487,2760,2022,NA,NA,95,02760AD,PIMA,3.5,NA,NA,
923529304290487,14172,2022,NA,1279735566290487,95,14172AB,PIMA,3.8,3.8,NA,
923529304290487,14172,2022,NA,1279735565290487,95,14172AC,PIMA,3.3,3.3,NA,
923529304290487,14172,2022,NA,1279735564290487,95,14172AD,PIMA,3.9,3.9,NA,
683089027126144,2804,2022,NA,1279691524290487,376,02804AA,BENE,4.3,4.3,NA,AGE
683089027126144,2804,2022,NA,1279691523290487,94,02804AB,PIGL,8.1,8.1,NA,S/A
683089853126144,38881,2022,NA,NA,94,38881AA,PIGL,7.2,NA,NA,
683089853126144,38881,2022,NA,NA,94,38881AB,PIGL,NA,NA,NA,
683089856126144,10391,2022,NA,NA,95,10391AA,PIMA,3.1,NA,NA,
683089856126144,10391,2022,NA,NA,95,10391AB,PIMA,2.4,NA,NA,
683089856126144,10391,2022,NA,NA,95,10391AC,PIMA,3.4,NA,NA,
683089039126144,867,2022,NA,1279691700290487,95,00867AA,PIMA,4.5,4.5,NA,plot mislabeled - changed from 4434 to 4334 (Cahoon)
683089039126144,867,2022,NA,1279691701290487,95,00867AB,PIMA,4.8,4.8,NA,plot mislabeled - changed to 4334 (Cahoon)
683089039126144,867,2022,NA,1279691702290487,95,00867AC,PIMA,5.1,5.1,NA,plot mislabeled - changed to 4334 (Cahoon)
923529308290487,8015,2022,NA,NA,95,08015AC,PIMA,4.1,NA,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
923529308290487,8015,2022,NA,NA,95,08015AD,PIMA,5.9,NA,NA,plot mislabeled- changed from 4897 to 4987 (Cahoon)
683089047126144,23539,2022,NA,NA,94,23539AB,PIGL,7.7,NA,NA,INC
683089047126144,23539,2022,NA,1279691944290487,94,23539AC,PIGL,6.8,6.8,NA,
683089047126144,23539,2022,NA,1279691942290487,94,23539AD,PIGL,8.9,8.9,NA,
683089047126144,23539,2022,NA,1279691943290487,94,23539AE,PIGL,7.9,7.9,NA,
683089066126144,27801,2022,NA,1279692192290487,94,27801AD,PIGL,8.1,8.1,NA,
683089072126144,40094,2022,NA,NA,95,40094AA,PIMA,4.6,NA,NA,
683089079126144,5196,2022,NA,1279692600290487,94,05196AA,PIGL,13.5,13.5,NA,
683089079126144,5196,2022,NA,1279692601290487,94,05196AB,PIGL,8,8,NA,
683089079126144,5196,2022,NA,1279692602290487,94,05196AC,PIGL,9,9,NA,
683089091126144,37133,2022,NA,NA,71,37133AA,LALA,3.7,NA,NA,
683089091126144,37133,2022,NA,NA,71,37133AB,LALA,2.8,NA,NA,
683089091126144,37133,2022,NA,NA,71,37133AC,LALA,4.4,NA,NA,
683089108126144,38707,2022,NA,1279693632290487,95,38707AB,PIMA,5,5,NA,
683089108126144,38707,2022,NA,1279693631290487,95,38707AC,PIMA,4,4,NA,
683089108126144,38707,2022,NA,1279693630290487,95,38707AD,PIMA,3.7,3.7,NA,
923529314290487,59263,2022,NA,1279736297290487,95,59263AA,PIMA,5.1,5.1,NA,
923529314290487,59263,2022,NA,1279736298290487,95,59263AB,PIMA,4.4,4.4,NA,
923529314290487,59263,2022,NA,1279736296290487,95,59263AC,PIMA,4.5,4.5,NA,
683089111126144,55579,2022,NA,NA,95,55579AA,PIMA,2.8,NA,NA,
683089120126144,48992,2022,NA,NA,94,48992AB,PIGL,8.6,NA,NA,
683089120126144,48992,2022,NA,1279694108290487,94,48992AC,PIGL,10.1,10.1,NA,
923529315290487,21837,2022,NA,1279736478290487,95,21837AA,PIMA,4.1,4.1,NA,
923529315290487,21837,2022,NA,1279736477290487,95,21837AB,PIMA,3.3,3.3,NA,
923529315290487,21837,2022,NA,1279736481290487,95,21837AC,PIMA,3.7,3.7,NA,
923529316290487,24239,2022,NA,1279736579290487,95,24239AA,PIMA,3.9,3.9,NA,
923529316290487,24239,2022,NA,1279736578290487,95,24239AB,PIMA,3.4,3.4,NA,
923529316290487,24239,2022,NA,1279736577290487,95,24239AC,PIMA,3.6,3.6,NA,
683089137126144,52724,2022,NA,1279694655290487,95,52724AA,PIMA,4,4,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
683089137126144,52724,2022,NA,1279694656290487,95,52724AB,PIMA,8.5,8.5,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
683089137126144,52724,2022,NA,1279694655290487,94,52724AC,PIGL,4,4,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
683089137126144,52724,2022,NA,1279694656290487,94,52724AD,PIGL,8.5,8.5,NA,"DUPLICATE PLOT/SITE, DIFFERENT SPECIES"
683089145126144,47818,2022,NA,1279694971290487,95,47818AA,PIMA,4.6,4.6,NA,
683089145126144,47818,2022,NA,1279694972290487,95,47818AB,PIMA,4.9,4.9,NA,
683089145126144,47818,2022,NA,1279694970290487,95,47818AC,PIMA,5.7,5.7,NA,
683089152126144,11576,2022,NA,NA,95,11576AA,PIMA,4,NA,NA,
683089152126144,11576,2022,NA,NA,95,11576AB,PIMA,4.2,NA,NA,
683089152126144,11576,2022,NA,NA,95,11576AC,PIMA,3.3,NA,NA,
683089163126144,26013,2022,NA,1279695376290487,94,26013AA,PIGL,10.1,10.1,NA,
683089163126144,26013,2022,NA,1279695375290487,94,26013AB,PIGL,9.9,9.9,NA,
683089163126144,26013,2022,NA,NA,94,26013AC,PIGL,4.7,NA,NA,REJECTED SITE TREE
683089170126144,18602,2022,NA,NA,95,18602AA,PIMA,5.9,NA,NA,
683089170126144,18602,2022,NA,NA,95,18602AB,PIMA,5.7,NA,NA,
683089170126144,18602,2022,NA,NA,95,18602AC,PIMA,5.5,NA,NA,
923529348290487,32336,2022,NA,NA,95,32336AA,PIMA,1.9,NA,NA,
923529348290487,32336,2022,NA,NA,95,32336AB,PIMA,3.1,NA,NA,
923529348290487,32336,2022,NA,NA,71,32336AC,LALA,2.8,NA,NA,
923529319290487,24867,2022,NA,NA,95,24867AA,PIMA,4.1,NA,NA,
923529319290487,24867,2022,NA,NA,95,24867AB,PIMA,3.3,NA,NA,
923529319290487,24867,2022,NA,NA,95,24867AC,PIMA,4.2,NA,NA,
683089179126144,8941,2022,NA,NA,95,08941AA,PIMA,4.3,NA,NA,
683089179126144,8941,2022,NA,NA,95,08941AB,PIMA,3,NA,NA,
683089179126144,8941,2022,NA,NA,95,08941AC,PIMA,3.6,NA,NA,
683089722126144,27529,2022,NA,NA,95,27529AA,PIMA,2.7,NA,NA,
683089722126144,27529,2022,NA,NA,95,27529AB,PIMA,3.7,NA,NA,
683089722126144,27529,2022,NA,NA,95,27529AC,PIMA,2.7,NA,NA,
923529321290487,59042,2022,NA,NA,376,59042AB,BENE,4.4,NA,NA,AGE TREE
923529321290487,59042,2022,NA,NA,376,59042AC,BENE,4.5,NA,NA,AGE TREE
923529321290487,59042,2022,NA,NA,376,59042AD,BENE,4.4,NA,NA,AGE TREE
923529321290487,59042,2022,NA,NA,94,59042AE,PIGL,6.5,NA,NA,SITE TREE
923529321290487,59042,2022,NA,NA,94,59042AF,PIGL,6.2,NA,NA,SITE TREE
683089223126144,44811,2022,NA,1279696392290487,95,44811AA,PIMA,2.9,2.9,NA,
683089223126144,44811,2022,NA,1279696391290487,95,44811AB,PIMA,3.3,3.3,NA,
683089223126144,44811,2022,NA,1279696390290487,95,44811AC,PIMA,3.8,3.8,NA,
683089224126144,57113,2022,NA,NA,94,57113AA,PIGL,7.7,NA,NA,
683089224126144,57113,2022,NA,NA,94,57113AB,PIGL,8.4,NA,NA,
683089224126144,57113,2022,NA,NA,94,57113AC,PIGL,7.4,NA,NA,
683089228126144,30077,2022,NA,1279696801290487,94,30077AC,PIGL,7.4,7.4,NA,
